vector,label
"[54.47577353155663, 36.74616760872385, 34.788731299094614, 34.57081255113753, 35.346163051729874]",1
"[34.07938452124789, 35.69792470568659, 34.69551723964196, 35.12761563842284, 34.90025184980904]",0
"[35.58484317481799, 34.17594371620094, 34.8710331183946, 34.84637825813263, 35.453507776934174]",0
"[34.56004349307439, 34.931028716979824, 34.64885663283145, 35.016885498686236, 35.233126085486326]",0
"[62.959507967479354, 37.23750709797811, 35.36063628823712, 35.20099773556075, 35.36034237970576]",1
"[34.72650885633027, 34.95084390979254, 34.62569222629637, 34.892844768149594, 35.212142186695274]",0
"[34.72333569930988, 34.84129858925761, 34.72513091995216, 34.661917743400515, 34.731501547665275]",0
"[34.994934160432436, 34.55307586054589, 35.09376627912684, 35.663920870843945, 35.296817664230936]",0
"[34.923265779055356, 34.64494841436606, 34.701136682499666, 35.6769818404111, 35.020323101910414]",0
"[34.745201741372256, 35.07636619386699, 35.84010205459154, 35.048063580992654, 35.24688124388297]",0
"[35.12006812798233, 34.85910006140259, 34.54299272079114, 34.86026291103485, 34.91644230665009]",0
"[35.23464927647288, 36.38648508753673, 50.83129057802472, 37.197059875688694, 35.35405646570829]",1
"[34.69824082360134, 35.50114726209331, 35.2051719281672, 34.880762865958914, 35.195407258615]",0
"[34.96977131479158, 35.45265175498057, 35.60792672656888, 35.874230162613266, 34.441401465804745]",0
"[34.422354477828165, 34.79821365482142, 35.06401482777913, 35.35046756844649, 35.12625397889664]",0
"[34.1911195136704, 34.87751839494865, 35.3311898570429, 35.092037894145754, 35.30480447212481]",0
"[37.78940278085303, 61.375211699400346, 37.18034370898124, 35.1640206588833, 35.079319888050705]",1
"[35.04760345832298, 34.73173508548439, 35.15102551452837, 35.04872850839657, 35.45179356316477]",0
"[35.4795671519606, 35.074062566993575, 34.849886019963954, 34.74450783701831, 35.169397741625644]",0
"[35.03093602733942, 34.86245852977157, 35.017438742733695, 34.75199966242075, 35.27921281362889]",0
"[34.8211485740856, 35.4898030819222, 35.16139665671632, 35.23743140929483, 34.562035261703585]",0
"[35.06775297322347, 35.29622258043851, 34.61851975927683, 34.89351259759855, 35.01304581867734]",0
"[34.450753071901296, 35.12606375681692, 35.33846425903401, 34.65619362366721, 35.140218391465645]",0
"[34.47508663550503, 34.98452179629358, 34.353691058118685, 35.448567083294265, 35.16356021517473]",0
"[34.99015321764969, 34.689935352332334, 35.50950237206351, 35.78684069970189, 34.2568072542213]",0
"[35.49446561218113, 37.31645067197982, 51.948554075716885, 36.963261602232464, 35.345338127017605]",1
"[34.92763187916874, 34.7584317488827, 34.50797674573322, 35.22021499839049, 35.31712274636774]",0
"[34.75058770812808, 35.20823053482935, 34.54226344415074, 35.32074441274854, 35.01862691936966]",0
"[34.92537209123706, 34.959301650988344, 35.34755446280235, 35.300164655946006, 35.211786129741085]",0
"[35.05508048399896, 35.03112845116508, 35.24735210479941, 35.092997823671496, 35.27302056274579]",0
"[34.875953290592776, 34.02606489435714, 35.415529840743766, 35.874791858789706, 35.176545777427435]",0
"[34.9599379066866, 34.94542210244159, 34.95237832489008, 35.00696376332, 34.551192508501245]",0
"[34.79316221683191, 34.6011892689399, 35.09951966455511, 34.881343539051656, 35.198084529591185]",0
"[34.930118736103, 35.3945340751285, 35.08541356053418, 35.87627989158789, 34.24145563084356]",0
"[34.74123332469804, 35.36059475665949, 36.01133028272256, 34.90054608891381, 35.017467597271356]",0
"[34.90947430299456, 35.53258284503504, 34.88507685460959, 35.27202793595124, 34.87207936044053]",0
"[34.4909764979016, 35.125419088185375, 35.20127392537413, 35.5172903530129, 34.955821189433074]",0
"[36.561631362219764, 61.381064268045584, 37.42578188011203, 35.11226603084906, 34.970754918501086]",1
"[35.464135427997505, 35.14779708655029, 35.76186348333639, 35.4444226794242, 35.263619918440085]",0
"[34.3490246637535, 35.24092771211825, 35.168112881458825, 35.324380669121425, 35.417776837882904]",0
"[34.83964872328443, 35.329602247380166, 34.77507782759236, 35.781951230003614, 34.4672193333931]",0
"[34.29572457584049, 34.33971149367036, 34.64377776633478, 34.55235384057611, 35.78243156148146]",0
"[34.86940020076872, 34.462929684249026, 35.44575319071192, 36.09278701877131, 51.12422758079494]",1
"[35.350335571059716, 35.24934487063121, 34.82601732681791, 35.56301600009649, 35.05164063188429]",0
"[35.64677983954292, 35.201096352799965, 35.62352221624794, 35.04376107857017, 34.51210224120839]",0
